siteName,Site_ID,Latitude,Longitude
Boka Bartol,1,12.3034,-68.398883
Playa Benge,2,12.290217,-68.411917
Playa Funchi,3,12.282233,-68.414083
Wayaka,5,12.26945,-68.413883
Boka Slagbaai North,6,12.264333,-68.413783
Nukove,7,12.2409,-68.412433
Karpata,9,12.219517,-68.351967
La Dania's Leap,10,12.218183,-68.3482
Tolo/Ol' Blue,13,12.21555,-68.33695
Jeff Davis Memorial,18,12.201683,-68.31045
Andrea I,23,12.188233,-68.296983
Petries Pillar,24,12.18195,-68.294517
Something Special,32,12.161133,-68.28325
Windsock,36,12.1327,-68.282983
North Belnem,37,12.130883,-68.284667
Bachelor's Beach,38,12.125533,-68.287317
Joanne's Sunchi,J,12.147933,-68.311767
Keepsake,F,12.145567,-68.30115
Mi Dushi,T,12.16155,-68.32505
South Bay,L,12.149983,-68.3145
Punt Vierkant,41,12.108783,-68.2915
The Lake,42,12.107033,-68.290333
Alice in Wonderland,45,12.10475,-68.2888
Angel City,44,12.103383,-68.287217
Jeannie's Glory,48,12.08995,-68.28265
Salt City,50,12.08245,-68.281717
Tori's Reef,52,12.070367,-68.28075
Invisibles,51,12.063217,-68.2829
Pink Beach,53,12.062967,-68.28185
Red Slave,60,12.0264,-68.251733
South West Corner,O,12.14937746,-68.32881107
Sharon's Serenity,R,12.15611111,-68.3275
Rock Pile,I,12.14722778,-68.30869722
Rappel,11,12.21373879,-68.3622551
No Name Beach,A,12.16926298,-68.30452098
Munk's Haven,P,12.14976653,-68.32466125
Country Garden,14,12.14571741,-68.30646562
Carl's Hill,V,12.16456443,-68.32323207
Bon Bini na kas,15,12.20969116,-68.3206594
Lighthouse Point,40,12.11449,-68.29558
Lac South,Lac S,12.089698,-68.227146
Lac North,Lac N,12.102953,-68.22549
Karpata Reserve,KR,12.256479,-68.421333
Chez Hines,39,12.120427,-68.293393
Capt Don's Reef,K,12.14518,-68.314718
Bonaventure,G,12.143785,-68.303632
Bloodlet,12,12.213253,-68.334177
Bise Morto,4,12.279501,-68.415206
Airport Dive Shop,ADS,12.135025,-68.278419
Playa Frans,PF,12.237973,-68.413509
