collectionDate,siteID,feature,featureSecondary,value
2007-11-01,9,temperature,Farenheit,84
2007-11-01,10,temperature,Farenheit,84
2007-11-01,11,temperature,Farenheit,84
2007-11-01,12,temperature,Farenheit,84
2007-11-01,13,temperature,Farenheit,84
2007-11-01,14,temperature,Farenheit,84
2007-11-01,15,temperature,Farenheit,84
2007-11-01,23,temperature,Farenheit,84
2007-11-01,24,temperature,Farenheit,84
2007-11-01,32,temperature,Farenheit,86
2007-11-01,41,temperature,Farenheit,82
2007-11-01,42,temperature,Farenheit,82
2007-11-01,44,temperature,Farenheit,82
2007-11-01,45,temperature,Farenheit,82
2007-11-01,50,temperature,Farenheit,82
2007-11-01,51,temperature,Farenheit,82
2007-11-01,52,temperature,Farenheit,82
2007-11-01,53,temperature,Farenheit,82
2007-11-01,60,temperature,Farenheit,82
2008-05-01,1,temperature,Farenheit,NULL
2008-05-01,2,temperature,Farenheit,NULL
2008-05-01,3,temperature,Farenheit,NULL
2008-05-01,4,temperature,Farenheit,NULL
2008-05-01,5,temperature,Farenheit,NULL
2008-05-01,6,temperature,Farenheit,NULL
2008-05-01,7,temperature,Farenheit,NULL
2008-05-01,9,temperature,Farenheit,82
2008-05-01,12,temperature,Farenheit,82
2008-05-01,24,temperature,Farenheit,80
2008-05-01,32,temperature,Farenheit,82
2008-05-01,36,temperature,Farenheit,80
2008-05-01,37,temperature,Farenheit,80
2008-05-01,38,temperature,Farenheit,80
2008-05-01,39,temperature,Farenheit,80
2008-05-01,40,temperature,Farenheit,80
2008-05-01,41,temperature,Farenheit,80
2008-05-01,45,temperature,Farenheit,80
2008-05-01,50,temperature,Farenheit,80
2008-05-01,53,temperature,Farenheit,82
2008-05-01,60,temperature,Farenheit,82
2008-05-01,A,temperature,Farenheit,82
2008-05-01,F,temperature,Farenheit,82
2008-05-01,G,temperature,Farenheit,80
2008-05-01,I,temperature,Farenheit,80
2008-05-01,J,temperature,Farenheit,80
2008-05-01,K,temperature,Farenheit,80
2008-05-01,L,temperature,Farenheit,80
2008-05-01,O,temperature,Farenheit,80
2008-05-01,P,temperature,Farenheit,80
2008-05-01,R,temperature,Farenheit,80
2008-05-01,V,temperature,Farenheit,82
2008-11-01,9,temperature,Farenheit,86
2008-11-01,12,temperature,Farenheit,NULL
2008-11-01,24,temperature,Farenheit,NULL
2008-11-01,32,temperature,Farenheit,84
2008-11-01,37,temperature,Farenheit,84
2008-11-01,38,temperature,Farenheit,84
2008-11-01,40,temperature,Farenheit,84
2008-11-01,41,temperature,Farenheit,84
2008-11-01,44,temperature,Farenheit,84
2008-11-01,45,temperature,Farenheit,83
2008-11-01,50,temperature,Farenheit,84
2008-11-01,53,temperature,Farenheit,84
2008-11-01,A,temperature,Farenheit,84
2008-11-01,F,temperature,Farenheit,NULL
2008-11-01,G,temperature,Farenheit,82
2008-11-01,I,temperature,Farenheit,84
2008-11-01,O,temperature,Farenheit,86
2008-11-01,T,temperature,Farenheit,86
2008-11-01,V,temperature,Farenheit,84
2009-04-01,1,temperature,Farenheit,80
2009-04-01,2,temperature,Farenheit,80
2009-04-01,4,temperature,Farenheit,80
2009-04-01,5,temperature,Farenheit,80
2009-04-01,6,temperature,Farenheit,80
2009-04-01,9,temperature,Farenheit,78
2009-04-01,12,temperature,Farenheit,82
2009-04-01,24,temperature,Farenheit,82
2009-04-01,32,temperature,Farenheit,80
2009-04-01,37,temperature,Farenheit,82
2009-04-01,38,temperature,Farenheit,80
2009-04-01,40,temperature,Farenheit,82
2009-04-01,41,temperature,Farenheit,80
2009-04-01,44,temperature,Farenheit,82
2009-04-01,45,temperature,Farenheit,82
2009-04-01,50,temperature,Farenheit,80
2009-04-01,53,temperature,Farenheit,84
2009-04-01,60,temperature,Farenheit,82
2009-04-01,A,temperature,Farenheit,80
2009-04-01,F,temperature,Farenheit,80
2009-04-01,O,temperature,Farenheit,80
2009-04-01,V,temperature,Farenheit,80
2009-04-01,"Lac N",temperature,Farenheit,NULL
2009-04-01,"Lac S",temperature,Farenheit,NULL
2009-08-01,1,temperature,Farenheit,82
2009-08-01,5,temperature,Farenheit,82
2009-08-01,6,temperature,Farenheit,82
2009-08-01,9,temperature,Farenheit,84
2009-08-01,9,temperature,Farenheit,82
2009-08-01,12,temperature,Farenheit,82
2009-08-01,24,temperature,Farenheit,82
2009-08-01,32,temperature,Farenheit,82
2009-08-01,36,temperature,Farenheit,80
2009-08-01,37,temperature,Farenheit,82
2009-08-01,38,temperature,Farenheit,82
2009-08-01,40,temperature,Farenheit,82
2009-08-01,41,temperature,Farenheit,82
2009-08-01,44,temperature,Farenheit,82
2009-08-01,45,temperature,Farenheit,82
2009-08-01,50,temperature,Farenheit,82
2009-08-01,53,temperature,Farenheit,82
2009-08-01,60,temperature,Farenheit,82
2009-08-01,A,temperature,Farenheit,82
2009-08-01,F,temperature,Farenheit,82
2009-08-01,I,temperature,Farenheit,82
2009-08-01,O,temperature,Farenheit,82
2009-08-01,V,temperature,Farenheit,82
2009-08-01,"Lac S",temperature,Farenheit,86
2009-12-01,5,temperature,Farenheit,82
2009-12-01,6,temperature,Farenheit,82
2009-12-01,9,temperature,Farenheit,82
2009-12-01,9,temperature,Farenheit,80
2009-12-01,12,temperature,Farenheit,80
2009-12-01,18,temperature,Farenheit,80
2009-12-01,24,temperature,Farenheit,80
2009-12-01,32,temperature,Farenheit,82
2009-12-01,36,temperature,Farenheit,80
2009-12-01,37,temperature,Farenheit,82
2009-12-01,38,temperature,Farenheit,82
2009-12-01,40,temperature,Farenheit,82
2009-12-01,41,temperature,Farenheit,80
2009-12-01,44,temperature,Farenheit,80
2009-12-01,45,temperature,Farenheit,80
2009-12-01,48,temperature,Farenheit,80
2009-12-01,50,temperature,Farenheit,80
2009-12-01,53,temperature,Farenheit,82
2009-12-01,60,temperature,Farenheit,82
2009-12-01,A,temperature,Farenheit,82
2009-12-01,F,temperature,Farenheit,82
2009-12-01,I,temperature,Farenheit,80
2009-12-01,O,temperature,Farenheit,80
2009-12-01,V,temperature,Farenheit,82
2009-12-01,"Lac S",temperature,Farenheit,82
2010-04-01,1,temperature,Farenheit,82
2010-04-01,2,temperature,Farenheit,82
2010-04-01,5,temperature,Farenheit,82
2010-04-01,6,temperature,Farenheit,82
2010-04-01,9,temperature,Farenheit,82
2010-04-01,9,temperature,Farenheit,82
2010-04-01,12,temperature,Farenheit,82
2010-04-01,24,temperature,Farenheit,82
2010-04-01,32,temperature,Farenheit,82
2010-04-01,37,temperature,Farenheit,82
2010-04-01,38,temperature,Farenheit,82
2010-04-01,40,temperature,Farenheit,82
2010-04-01,41,temperature,Farenheit,82
2010-04-01,44,temperature,Farenheit,82
2010-04-01,45,temperature,Farenheit,82
2010-04-01,50,temperature,Farenheit,82
2010-04-01,53,temperature,Farenheit,82
2010-04-01,60,temperature,Farenheit,82
2010-04-01,A,temperature,Farenheit,82
2010-04-01,F,temperature,Farenheit,84
2010-04-01,I,temperature,Farenheit,82
2010-04-01,O,temperature,Farenheit,82
2010-04-01,V,temperature,Farenheit,82
2010-04-01,"Lac S",temperature,Farenheit,86
2010-04-01,PF,temperature,Farenheit,86
2010-12-01,9,temperature,Farenheit,82
2010-12-01,9,temperature,Farenheit,82
2010-12-01,12,temperature,Farenheit,82
2010-12-01,24,temperature,Farenheit,80
2010-12-01,32,temperature,Farenheit,86
2010-12-01,36,temperature,Farenheit,82
2010-12-01,36,temperature,Farenheit,82
