siteID,siteName,latitude,longitude,temperature,depth,pH,salinity,SpC,turbidity,flouride,chloride,nitrite,nitrate,bromide,phosphate,sulfate,calcium,magnesium,sodium,potassium,Total Corals,Recruit,Unidentified,Acropora cervicornis,Acropora palmata,Montastraea annularis,Montastraea cavernosa,Diploria labyrnthiformis,Diploria strigosa,Colpophyllia natans,Dendrogyra cylindrus,Agaricia agaricites,Agaricia,Porites porites,Porites astreoides,Millepora,Meandrina meandrites,Favia fragum,Dichocoenia stokesi,Stephanocoenia intersepta,Madracis mirabilis,Solenastrea
1,Boka Bartol,12.3034,-68.398883,81.333,28.667,8,37,54.6,0,0.91,23940.5,212.8,,8.933,0.1,2544,611.75,1572.75,14400,510.75,4,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
4,Bise Morto,12.279501,-68.415206,80,25,8,37,54.7,0,0.8,38427,,0.6,68.6,,4092,599,1661,15950,468,19,0,0,0,0,0,0,0,2,0,0,0,0,0,7,10,0,0,0,0,0,0
5,Wayaka,12.26945,-68.413883,81.2,24.6,8,37,54.233,0,1.456,29284.5,,7.367,87.46,16,2809,585.833,1384,11800,467.5,20,3,0,0,0,0,0,3,0,0,0,0,1,0,7,0,0,1,5,0,0,0
6,Boka Slagbaai North,12.264333,-68.413783,81.2,16,8,36.8,54.233,0,1.313,28548.667,,26.133,76.44,,2843,523.833,1378.167,12225,472.333,55,4,0,0,0,3,4,4,6,2,0,0,7,0,7,10,0,0,1,7,0,0
9,Karpata,12.219517,-68.351967,81.714,29.143,8,37.231,54.22,0,1.764,26096.857,37.3,12.21,54.933,0.3,2403.486,551.571,1383.5,10517.857,477.571,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
11,Rappel,12.21373879,-68.3622551,84,42,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Bloodlet,12.213253,-68.334177,81.75,37.333,8,37.571,54.433,0,2.855,29284.375,,6.15,58,0.6,2668.7,564,1447.125,10700,489.625,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Tolo/Ol' Blue,12.21555,-68.33695,84,17,,,,,,,,,,,,,,,,9,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
15,Bon Bini na kas,12.20969116,-68.3206594,84,15,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Jeff Davis Memorial,12.201683,-68.31045,80,17,8,37,53.9,0,1.8,27973,,,79.6,,1907,525,1226,11000,514,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
